muA2,lambdaS,lambdaA,lambdaSA,kappabar,kappaSA,scale,vS,T_crit,T_nuc,rel_dof,order,delta_p,delta_rho,alpha,alpha_inf,beta_per_H
0.005315529555919196,0.06132969921594736,0.05016505269492621,1.2107461232477834,0.8454922345290186,0.242271161517482,2.3,1.0,0.5750844152919725,0.35254054572316945,88.25,3.347082926843753,0.005088033263055675,0.010020103932258809,0.0223430641111373,0.02021582462494046,101.62326042413162
0.1452014840249772,0.06899976466731984,0.09799236119543434,2.1984408050031714,1.0747796455570424,0.010914432225720161,2.3,1.0,0.564661822612431,0.5198147468071203,97.25,1.6321029683699222,0.0011361301978701915,0.013605320012095287,0.005824334064127,0.009352841832930966,3358.5898229085096
0.011242617614769334,0.12519711366047137,0.01165759434551481,0.577389526418373,1.1140380923992423,0.0013237717003793449,2.3,1.0,0.8112237140560239,0.8041512921910392,98.25,0.5618780157563421,8.017165646004298e-05,0.009573098228083998,0.0007082562389331735,0.00048741033727252964,28239.631389278857
0.045657380344369565,0.1350318097488757,0.057258932186659776,2.5840771010491412,1.2573850479398083,0.2526810523773332,2.3,1.0,0.553818387750068,0.3720076522083899,88.25,2.692266123211805,0.004275256749311322,0.009286522415192802,0.016701382132170168,0.03227916825224487,286.06677878123355
0.004688423025198171,0.9356461007491542,0.0019435637152452159,2.2891974091958587,1.238353317669136,0.98144677992493,2.3,1.0,0.9417282222869344,0.8611944618797791,98.25,1.1594777921775439,0.008921290517372088,0.0996648877688226,0.005605653108191278,0.006923215535575236,3084.6913792983064
0.2864756835476672,0.0018413378023104288,0.2905962753964688,1.229443387042782,0.9264809874663142,0.0083325132574173,2.3,1.0,0.2643687947990553,0.24422939911457175,88.25,2.1357810025272115,2.928735492527582e-05,0.0002770259220384807,0.002681855909967347,0.023369585634719355,14063.800318057676
2.329710406388794e-05,0.29847240678441567,0.00175825828587533,2.298978681658687,0.8583918890349692,0.008790652229885046,2.3,1.0,0.9924900264833529,0.9905271980536718,108.75,0.3812717578881578,6.831086486400184e-05,0.03515870834072665,0.0010208443640593856,0.0009655752019947112,128356.9608868809
0.5405842903464138,0.004477563227627983,0.010935325518396216,2.4900713873697424,0.8770319550084411,0.007053956709206834,2.3,1.0,0.332555774587638,0.27707588393087723,88.25,1.83132496755505,7.896941975363281e-05,0.00020016158525461509,0.0011697488249169286,0.03684683093563588,2350.642205624356
0.6989696827405089,0.03404119641115952,0.22091817103701264,1.0641487198733457,0.8747574821887951,0.19377802935215244,2.3,1.0,0.610489432774094,0.5845478695603663,97.25,1.3186761125374173,0.0004169839024565497,0.009786441355463402,0.00261984965485292,0.0040073878888078965,7452.768765144559
0.0005124208723328038,0.5244389534007028,0.15473901509196406,2.0297044278946768,1.2144724762944317,0.004819971983013842,2.3,1.0,0.937808924024335,0.915799377689892,108.75,0.7120795750302261,0.001084181174099197,0.04751097016943734,0.0018879251247729207,0.0019018101804874113,10046.852159723183
0.0004787126134570191,0.03871365157240469,0.33542885919723847,1.4620161912137766,1.191886352454092,0.09139269286353603,2.3,1.0,0.42419365101212614,0.18651934539050155,88.25,5.470241211369554,0.0019063554593856463,0.0022670826151690695,0.06451766060096328,0.06879357484952658,66.23751153344168
0.0020631511328371823,0.5486763752071492,0.0017980837628597036,1.2681009064096327,1.1194666371419681,0.12584035738965996,2.3,1.0,1.0962823796925039,1.0944843186877686,108.75,0.3165337777675636,5.108638312673053e-05,0.03172723379125797,0.0006179968739792356,0.0004940362404863669,166536.96450793135
0.0007951536987650041,0.20663290902759585,0.0020595470812858553,1.1045053275320327,1.012861788233336,0.0021779447278961386,2.3,1.0,0.9044823536322733,0.9025742612334529,108.75,0.37837151394720336,3.208974111276741e-05,0.015546000537407623,0.0006547554828640914,0.0004988565097233229,123498.41749760382
0.00016733255916180558,0.2761590429007293,0.25826882212963853,1.4450861989798938,1.0359717640476678,0.0018446378453742238,2.3,1.0,0.9634345445858922,0.9625013783862634,108.75,0.3020727195286979,1.6331482983134027e-05,0.017113371261249455,0.00055734277462753,0.0004957929200849876,337545.5068675009
5.553714439210144e-06,0.09019735077392321,0.017142150585469,1.7742680165064884,1.0016728390920162,0.07037849655536323,2.3,1.0,0.6111309882389108,0.5520332169152821,97.25,1.6259378486637217,0.0018167341345518145,0.01809300362461462,0.00608950127980941,0.007082568527818715,1914.2296401808298
0.0013819757614066163,0.42737947927775954,0.002807351413714514,1.6642872664151165,1.3222375382171534,0.002335433959288577,2.3,1.0,0.7432802015019954,0.6165705172315084,97.25,1.4495431781437027,0.004871706966977196,0.02665713879494365,0.00576520050825001,0.005426685299916426,814.8964309943551
