gd,LamS,scale,vS,T_crit,T_nuc,rel_dof,order,delta_p,delta_rho,alpha,beta_per_H
0.1428035204586947,3.708993083483084e-05,2.3,1.0,0.0684271676405528,0.04649522038673839,90.25,21.017091169332502,2.4951947979084326e-06,6.280441785216475e-06,0.04526174054062907,9311.83308774854
0.4703267002813357,0.022606002540414852,2.3,1.0,0.4675983346593016,0.45876320262067166,99.25,1.238292235838342,5.434789069433052e-05,0.003195160624267626,0.002209171266104901,12945.299438034828
0.9706340742669533,0.040847676598149876,2.3,1.0,0.34502820951942376,0.23723102499020646,90.25,4.176109622147939,0.002125205302479259,0.005173390642947973,0.0550127849190789,530.6449378725256
0.6099434636010538,0.023087258185551702,2.3,1.0,0.3865581613064968,0.3601070037411916,90.25,2.237663969404329,0.000344810224154694,0.005263720433037116,0.010542432800512992,3633.5335873650524
0.1279524509345431,3.543431937256271e-05,2.3,1.0,0.07318111675026667,0.05642751088653224,90.25,16.62127407791462,1.8710093407930515e-06,7.462021102303872e-06,0.024789467551231802,29710.58199834154
0.41582488061693645,0.040931419880930395,2.3,1.0,0.6693885684664826,0.6673433487785767,100.25,0.48433802800862774,5.567339656661896e-06,0.0019989232127853307,0.0003055877170659323,62287.079692065905
0.49647101106765257,0.012043349531133337,2.3,1.0,0.3394191613726654,0.31506265846444126,90.25,2.5110980300055625,0.00018316170901370218,0.002706954843525365,0.009252680733650655,4097.830501378305
0.25971815835740575,0.0004946336628784717,2.3,1.0,0.13610211891251178,0.10309427173377406,90.25,9.22728514741463,2.723408563191534e-05,9.9212054077667e-05,0.02958016551410223,6253.732365642748
0.2774436590623506,0.00046296244029013137,2.3,1.0,0.12517358334615147,0.08366097615733377,90.25,11.735917968036127,3.1036627027890106e-05,7.378829934663418e-05,0.05073061055632111,5100.864699567767
0.1619943462758775,0.001447966447700126,2.3,1.0,0.33284284960422855,0.33062554807414746,90.25,0.9763259620122781,4.054162950559159e-07,7.262104111211212e-05,0.00020468741074829914,60868.239758841795
0.10682094185564872,1.3435978268815526e-05,2.3,1.0,0.054677068721174664,0.0390999684809291,90.25,24.74613973379219,8.43311582522762e-07,2.502285297177553e-06,0.03605832042229966,512393.25915088353
0.2781556329204682,0.0012403139215369948,2.3,1.0,0.19427568288717845,0.17079006474221697,90.25,4.925159690486082,3.324061489320463e-05,0.0002866744298766809,0.011347830588153189,6437.6744326829985
0.577706067268264,0.004920527308211568,2.3,1.0,0.19761622907933687,0.08527500122237804,90.25,11.719829068317633,0.00033287236970591053,0.0004000218656141195,0.2547833786873429,779.3221861895794
0.344243823778835,0.0063571936962382326,2.3,1.0,0.3412383820734837,0.32982482218653436,90.25,1.879977121746256,3.068108780574907e-05,0.0010418478710990976,0.002965140382005771,8951.643555948049
0.3977608254386725,0.059691401390444945,2.3,1.0,0.8098095195865231,0.8089264430131398,100.25,0.29309080180204145,1.588420901671439e-06,0.001560886236092185,0.00011052798428964155,209845.8525936827
0.41706630392806243,0.09808316460179702,2.3,1.0,0.9469913732033994,0.9460977632336294,110.75,0.22116470105567484,1.7055403223609211e-06,0.0019444148191614108,6.66074233816597e-05,108480.17348861333
0.37728853594500944,0.0048073367669705614,2.3,1.0,0.2796173833046417,0.25751035232312575,90.25,3.0362412926683993,7.831453913148328e-05,0.0010669092917399668,0.008171899632381376,4527.7905879636055
0.3175566897150409,0.0555011507377039,2.3,1.0,0.9267968246206775,0.9262589512563332,110.75,0.1842660416082356,4.078443571753354e-07,0.0007313453042845364,2.7269085888277104e-05,194874.48820557934
0.48121359438669087,0.0110369427082221,2.3,1.0,0.3345142975927595,0.31081738623667243,90.25,2.528344871944767,0.00016413228915340607,0.002466516966113939,0.00890096697898795,5089.516104420918
0.786057422647789,0.029642863329767764,2.3,1.0,0.3566595945033208,0.3001564521335773,90.25,3.125689174900936,0.0010689803039828404,0.006189190375029687,0.025681323813560746,1390.6328955335512
0.8276751782415285,0.04677397964459993,2.3,1.0,0.42049745658098087,0.38054356695220215,90.25,2.325000570633265,0.0010418097429796668,0.010808100696499491,0.017358258133808566,2601.737796293013
0.4426725636892691,0.01737599804371433,2.3,1.0,0.43670410965115997,0.4273228733507743,96.25,1.3602447272678924,4.9282507402121506e-05,0.0025576012581970814,0.002422306241544021,11855.917193104684
0.708526765855125,0.020748645769771083,2.3,1.0,0.3293764895825876,0.27390077339574265,90.25,3.4258930546067017,0.0007981461920071246,0.004339923686138177,0.025970682175720343,1427.5531936716395
0.29961403597836156,0.0005856526439399528,2.3,1.0,0.1307268333399326,0.08483022368834867,90.25,11.621441660412836,4.005703657950384e-05,8.788238479953189e-05,0.057157560343949004,4345.929242319522
