m a2 Tstar vstaroverTstar alpha betaoverH
70.0 1.3 11.5662594856 21.2611036703 1.36386801848 363706.099159
70.0 1.4 20.1093705135 12.1603117231 0.265594582334 886.334864543
80.0 0.3 73.842269066 0.859587891906 0.00182291911464 14849.19378
80.0 0.4 65.376569011 2.19143320256 0.0107939540478 1833.80902818
80.0 0.5 40.1219603779 5.68825458304 0.0757727584663 121.527457512
80.0 0.6 25.8208820086 9.39344329598 0.260627854299 40.2569635224
80.0 0.7 27.7305983707 8.70593489449 0.194124376127 61.050282349
80.0 0.8 21.2025568491 11.5244265934 0.396740622563 45.8629836763
80.0 0.9 27.9061052513 8.64268549224 0.169284922132 93.6112193889
80.0 1.0 13.5089924397 18.1934071765 1.46138626067 76.9760024312
80.0 1.1 11.9739127576 20.5356774329 2.03545820361 183.968251769
80.0 1.2 20.1036669713 12.1671156486 0.35429818067 122.235898369
80.0 1.3 12.1846640368 20.1790606009 1.59488097648 672.742171173
80.0 1.4 21.2444966786 11.496083136 0.276364326587 207.128716213
90.0 0.4 53.685182575 3.73094100444 0.0343334835584 149.22990176
90.0 0.5 73.5147339825 0.758911056024 0.00136768713888 38566.38802
90.0 0.6 45.5990849806 4.81341051237 0.0536494493907 153.594923465
90.0 0.7 20.4358640166 11.9700367844 0.585714688481 18.9333157667
90.0 0.8 37.4013761214 6.21419367687 0.0875458621483 110.288762461
90.0 0.9 29.1098987513 8.26035645314 0.168097098057 63.6109844286
90.0 1.0 48.6094279767 4.30664434275 0.0366794701395 479.403253188
90.0 1.1 13.5126936922 18.1886784825 1.69929015826 31.9910538257
90.0 1.2 6.8056503302 36.1461753197 20.9726187363 1237.50937515
90.0 1.3 15.2784182423 16.0737050201 0.947370295389 66.027098015
90.0 1.4 23.8105177076 10.2177776219 0.235904832687 99.0305339057
100.0 0.4 72.1703742005 0.804131841395 0.00159702093269 7188.67436158
100.0 0.5 68.3067646045 1.75382855115 0.00704470863163 1210.45635316
100.0 0.6 47.0872858102 4.59955260265 0.051238642238 116.813926938
100.0 0.7 53.842752595 3.6656426629 0.0299874749767 317.015224407
100.0 0.8 28.3630602284 8.50015802449 0.20350438199 98.3001081451
100.0 0.9 33.0248829299 7.18599685891 0.12866021237 60.736610565
100.0 1.0 33.8671942579 6.979603542 0.114779995579 76.3497076786
100.0 1.1 31.5656844838 7.55503135447 0.134695535308 71.6771714739
100.0 1.2 14.1078241179 17.4176303126 1.65556717962 17.9520110947
100.0 1.3 20.8124365987 11.7455559247 0.416555876212 39.1399415797
100.0 1.4 35.8294185113 6.52186224921 0.0875828326921 151.707494788
100.0 1.5 9.49515384175 25.9065119007 5.76186001679 122.717156834
110.0 0.5 74.1237498505 0.332742852996 0.000325871578761 389537.924558
110.0 0.6 51.269776658 4.02822267742 0.0400449633566 111.577932849
110.0 0.7 50.9760552955 4.05514223887 0.0389239039495 153.763731612
110.0 0.8 30.7689478841 7.78175350361 0.179923067884 36.7478102608
110.0 0.9 39.6449542889 5.78821035655 0.0808523413986 78.8393602017
110.0 1.0 49.9396103858 4.15551616035 0.0370637546761 248.70631384
110.0 1.1 28.8095184723 8.35538057436 0.19102672498 39.4081367776
110.0 1.2 39.1985310945 5.85652953286 0.0756924431133 114.157652113
